New Jersey,4,2016,48.8,45
New Mexico,4,2016,50.3,34
New York,4,2016,39.5,10
North Carolina,4,2016,57.4,5
North Dakota,4,2016,39.0,35
Ohio,4,2016,48.4,6
Oklahoma,4,2016,58.0,27
Oregon,4,2016,45.6,47
Pennsylvania,4,2016,45.2,16
Rhode Island,4,2016,44.6,7
South Carolina,4,2016,61.8,11
South Dakota,4,2016,43.2,19
Tennessee,4,2016,56.7,46
Texas,4,2016,63.6,38
Utah,4,2016,45.0,28
Vermont,4,2016,35.9,12
Virginia,4,2016,53.4,36
Washington,4,2016,46.7,17
West Virginia,4,2016,50.8,13
Wisconsin,4,2016,39.8,14
Wyoming,4,2016,38.2,39
Alabama,5,2016,66.9,29
Arizona,5,2016,61.6,2
Arkansas,5,2016,64.8,20
California,5,2016,60.0,21
Colorado,5,2016,47.2,40
Connecticut,5,2016,52.6,22
Delaware,5,2016,57.4,41
Florida,5,2016,73.7,3
Georgia,5,2016,67.4,23
Idaho,5,2016,48.8,24
Illinois,5,2016,57.5,25
Indiana,5,2016,56.3,32
Iowa,5,2016,54.8,42
Kansas,5,2016,58.9,43
Kentucky,5,2016,60.1,18
Louisiana,5,2016,70.8,33
Maine,5,2016,45.0,15
Maryland,5,2016,57.0,0
Massachusetts,5,2016,51.1,30
Michigan,5,2016,48.1,4
Minnesota,5,2016,49.6,26
Mississippi,5,2016,67.8,8
Missouri,5,2016,60.0,37
Montana,5,2016,48.0,31
Nebraska,5,2016,53.6,9
Nevada,5,2016,52.6,1
New Hampshire,5,2016,47.5,44
New Jersey,5,2016,55.4,45
New Mexico,5,2016,55.8,34
New York,5,2016,48.5,10
North Carolina,5,2016,62.2,5
North Dakota,5,2016,49.2,35
Ohio,5,2016,55.0,6
Oklahoma,5,2016,63.8,27
Oregon,5,2016,51.6,47
Pennsylvania,5,2016,52.2,16
Rhode Island,5,2016,52.0,7
South Carolina,5,2016,66.6,11
South Dakota,5,2016,51.5,19
Tennessee,5,2016,62.4,46
Texas,5,2016,68.8,38
Utah,5,2016,51.2,28
Vermont,5,2016,46.1,12
Virginia,5,2016,58.5,36
Washington,5,2016,53.4,17
West Virginia,5,2016,56.2,13
Wisconsin,5,2016,49.5,14
Wyoming,5,2016,44.8,39
Alabama,6,2016,74.7,29
Arizona,6,2016,72.4,2
Arkansas,6,2016,73.0,20
California,6,2016,67.8,21
Colorado,6,2016,58.6,40
Connecticut,6,2016,62.9,22
Delaware,6,2016,67.0,41
Florida,6,2016,79.0,3
Georgia,6,2016,75.2,23
Idaho,6,2016,55.9,24
Illinois,6,2016,68.4,25
Indiana,6,2016,66.8,32
Iowa,6,2016,66.2,42
Kansas,6,2016,69.6,43
Kentucky,6,2016,68.9,18
Louisiana,6,2016,77.1,33
Maine,6,2016,56.6,15
Maryland,6,2016,66.6,0
Massachusetts,6,2016,61.6,30
Michigan,6,2016,60.0,4
Minnesota,6,2016,61.2,26
Mississippi,6,2016,75.4,8
Missouri,6,2016,69.8,37
Montana,6,2016,56.7,31
Nebraska,6,2016,65.2,9
Nevada,6,2016,62.4,1
New Hampshire,6,2016,58.7,44
